# What the card said, stamped when it said it. Append-only,
# written by scripts/webapp.py at render and graded by
# scripts/forward_settle.py. One row per fixture-lane, kept
# from FIRST sight so a later re-render cannot re-price it.
# stamped	date	league	fixture	tip	lane	claim	label	score	needs	consensus	best	book
2026-09-01 13:32	2026-09-01	SAU-PL	Al-Hilal v Al-Ahli	1	O1.5	84.9	orange	+1.07	1.271	1.11	1.26	Pinnacle
2026-09-01 13:32	2026-09-01	SUI-SL	Zürich v Young Boys	1	O1.5	83.8	orange	+3.77	1.271	1.07	1.11	Pinnacle
2026-09-01 13:32	2026-09-01	ENG-CH	Portsmouth v Derby	1	U4.25	83.7	orange	+1.94	1.271	1.06	1.10	Pinnacle
2026-09-01 13:32	2026-09-01	ENG-CH	Preston v Bristol City	1	U3.0	76.9	orange	-4.86	1.271	1.30	1.35	Pinnacle
2026-09-01 13:32	2026-09-01	ENG-CH	Sheffield United v Bolton	1	U3.0	76.8	orange	-4.96	1.271	1.34	1.38	1xBet
2026-09-01 13:32	2026-09-01	ENG-CH	Swansea v Watford	1	U4.25	83.6	orange	+1.84	1.271	1.09	1.12	Pinnacle
2026-09-01 13:32	2026-09-01	ENG-CH	Stoke v Norwich	1	U4.25	83.8	orange	+2.04	1.271	1.10	1.11	Nordic Bet
2026-09-01 13:32	2026-09-02	BRA-SB	Londrina v Juventude	1	U3.0	82.0	orange	-11.36	1.271	1.14	1.20	BetOnline.ag
2026-09-01 13:32	2026-09-02	JPN-J1	Cerezo Osaka v Kashiwa	1	U4.25	83.7	orange	-3.47	1.271	1.08	1.13	Pinnacle
2026-09-01 13:32	2026-09-02	JPN-J1	JEF United Chiba v Okayama	1	U4.25	88.8	green	+1.94	1.213	1.07	1.12	Pinnacle
2026-09-01 13:32	2026-09-02	JPN-J1	Machida Zelvia v Kawasaki	1	U4.25	85.9	green	+2.25	1.213	1.08	1.13	Pinnacle
2026-09-01 13:32	2026-09-02	JPN-J1	Mito Hollyhock v Kashima	1	U4.25	88.0	green	+2.30	1.213	1.06	1.09	Pinnacle
2026-09-01 13:32	2026-09-02	JPN-J1	Sanfrecce v Nagoya	1	U4.25	81.2	orange	-5.66	1.271	1.12	1.19	Tipico
2026-09-01 13:32	2026-09-02	JPN-J1	Shimizu v FC Tokyo	1	U4.25	89.2	green	+4.50	1.213	1.05	1.09	Pinnacle
2026-09-01 13:32	2026-09-02	JPN-J1	Tokyo Verdy v Vissel Kobe	1	U4.25	89.6	orange	+2.68	1.271	1.02	1.02	1xBet
2026-09-01 13:32	2026-09-02	JPN-J1	Nagasaki v Gamba Osaka	1	U4.25	87.5	green	-3.06	1.213	1.08	1.13	Pinnacle
2026-09-01 13:32	2026-09-02	JPN-J1	Yokohama FM v Kyoto Sanga	1	U4.25	90.2	orange	+6.73	1.271	1.07	1.12	Pinnacle
2026-09-01 13:32	2026-09-01	ENG-CH	Lincoln v Blackburn	1	U4.25	83.7	orange	+1.94	1.271	1.08	1.12	Pinnacle
2026-09-01 13:32	2026-09-01	ENG-CH	Birmingham v Southampton	1	U4.25	83.6	orange	+1.84	1.271	1.10	1.13	Nordic Bet
2026-09-01 13:32	2026-09-02	JPN-J1	Avispa Fukuoka v Urawa Reds	1	U4.25	88.2	green	+4.91	1.213	1.04	1.09	Pinnacle
2026-09-01 16:25	2026-09-01	ENG-CH	Preston v Bristol City	1	U3.5	76.9	orange	-0.61	1.271	1.30	1.36	Pinnacle
2026-09-01 16:25	2026-09-01	ENG-CH	Sheffield United v Bolton	1	U3.5	76.8	orange	-5.64	1.271	1.36	1.39	BetOnline.ag
2026-09-01 16:25	2026-09-02	BRA-SB	Londrina v Juventude	1	U3.5	82.0	orange	-12.03	1.271	1.16	1.29	Pinnacle
2026-09-01 16:25	2026-09-01	SUI-SL	Zürich v Young Boys	1	O1.0	83.8	orange	-5.19	1.271	1.01	1.01	Matchbook
2026-09-01 16:25	2026-09-01	ENG-CH	Portsmouth v Derby	1	U4.5	83.7	orange	+1.26	1.271	1.07	1.10	Pinnacle
2026-09-01 16:25	2026-09-01	ENG-CH	Swansea v Watford	1	U4.5	83.6	orange	+6.30	1.271	1.08	1.11	Pinnacle
2026-09-01 16:25	2026-09-01	ENG-CH	Lincoln v Blackburn	1	U4.5	83.7	orange	-4.61	1.271	1.08	1.12	Pinnacle
2026-09-01 16:25	2026-09-01	ENG-CH	Birmingham v Southampton	1	U4.5	83.6	orange	+2.98	1.271	1.13	1.14	BetOnline.ag
2026-09-01 16:25	2026-09-01	ENG-CH	Stoke v Norwich	1	U4.5	83.8	orange	-1.19	1.271	1.09	1.11	Pinnacle
2026-09-01 16:25	2026-09-02	JPN-J1	Avispa Fukuoka v Urawa Reds	1	U4.5	88.2	green	+4.02	1.213	1.06	1.09	Pinnacle
2026-09-01 16:25	2026-09-02	JPN-J1	Cerezo Osaka v Kashiwa	1	U4.5	83.7	orange	-1.64	1.271	1.10	1.14	Pinnacle
2026-09-01 16:25	2026-09-02	JPN-J1	JEF United Chiba v Okayama	1	U4.5	88.8	green	+0.91	1.213	1.07	1.13	Pinnacle
2026-09-01 16:25	2026-09-02	JPN-J1	Machida Zelvia v Kawasaki	1	U4.5	85.9	green	+3.27	1.213	1.08	1.13	Pinnacle
2026-09-01 16:25	2026-09-02	JPN-J1	Mito Hollyhock v Kashima	1	U4.5	88.0	green	+0.77	1.213	1.06	1.11	BetOnline.ag
2026-09-01 16:25	2026-09-02	JPN-J1	Sanfrecce v Nagoya	1	U4.5	81.2	orange	-6.69	1.271	1.12	1.19	Tipico
2026-09-01 16:25	2026-09-02	JPN-J1	Shimizu v FC Tokyo	1	U4.5	89.2	green	+2.24	1.213	1.05	1.11	BetOnline.ag
2026-09-01 16:25	2026-09-02	JPN-J1	Tokyo Verdy v Vissel Kobe	1	U4.5	89.6	orange	+3.70	1.271	1.02	1.02	1xBet
2026-09-01 16:25	2026-09-02	JPN-J1	Nagasaki v Gamba Osaka	1	U4.5	87.5	green	+0.48	1.213	1.08	1.14	Pinnacle
2026-09-01 16:25	2026-09-02	JPN-J1	Yokohama FM v Kyoto Sanga	1	U4.5	90.2	orange	+3.56	1.271	1.08	1.13	Pinnacle
2026-09-01 16:42	2026-09-02	ENG-CH	Millwall v Wrexham	1	U3.5	76.1	orange	-4.81	1.271	1.28	1.33	Pinnacle
2026-09-01 16:42	2026-09-02	ENG-CH	West Brom v Charlton	1	U3.5	76.8	orange	-1.04	1.271	1.25	1.39	Pinnacle
2026-09-01 16:42	2026-09-02	DEN-SL	AGF v Midtjylland	1	O1.0	81.8	orange	-1.59	1.271	1.02	1.05	Pinnacle
2026-09-01 16:42	2026-09-02	ENG-CH	Burnley v Middlesbrough	1	O1.0	77.2	red	-0.49	1.360	1.03	1.03	Pinnacle
2026-09-01 16:42	2026-09-02	CHI-PD	Coquimbo Unido v U. de Concepción	1	U4.5	87.2	orange	+3.60	1.271	1.09	1.12	Coolbet
2026-09-01 16:42	2026-09-02	BRA-SA	Flamengo v Mirassol	1	U4.5	83.0	orange	+0.70	1.271	1.16	1.20	1xBet
2026-09-01 16:42	2026-09-03	CHI-PD	Deportes Limache v Ñublense	1	U4.5	84.7	green	+3.56	1.213	1.09	1.12	Coolbet
2026-09-01 16:42	2026-09-03	SAU-PL	Al-Fayha v Al-Kholood	1	U4.5	86.0	orange	+8.17	1.271	1.03	1.10	Pinnacle
